Sex,Age,Race,Juvenile Felonies,Juvenile Misdemeanors,Juvenile Others,Previous Convictions,Degree of Conviction,Days in Jail,COMPAS Score,Recidivism
1,69,5,0,0,0,0,0,1,0,0
1,34,0,0,0,0,0,0,97,2,1
1,24,0,0,0,1,4,0,2,3,1
1,44,5,0,0,0,0,1,322,0,0
1,41,2,0,0,0,14,0,7,5,1
1,43,5,0,0,0,3,0,1,3,0
0,39,2,0,0,0,0,1,3,0,0
1,20,2,0,0,1,0,0,416,9,0
0,26,2,0,0,0,0,0,31,4,0
1,21,2,0,0,0,1,0,30,2,1
1,27,2,0,0,0,0,0,2,3,0
1,23,0,0,0,0,3,1,123,5,1
0,37,2,0,0,0,0,1,31,0,0
1,22,2,0,0,0,0,1,1,2,0
1,41,0,0,0,0,0,0,31,3,0
0,47,2,0,0,0,1,0,15,0,1
1,31,0,0,0,0,7,0,4,2,1
1,37,3,0,0,0,0,1,1,0,0
1,25,0,0,0,0,3,0,2,9,0
1,31,2,0,0,0,6,0,2,4,1
1,31,2,0,0,0,5,0,2,2,1
1,64,0,0,0,0,13,0,32,5,1
1,21,0,0,0,0,1,0,4,8,1
1,27,2,0,0,0,0,1,1,1,1
0,21,2,0,0,0,0,0,2,3,0
1,24,3,0,0,0,1,0,31,3,1
1,42,2,0,0,0,1,0,44,2,0
1,43,2,0,0,0,1,1,2,0,0
1,32,5,0,0,0,0,1,61,2,0
0,54,0,0,0,0,0,0,170,8,0
1,44,0,0,0,0,8,1,1,5,0
1,27,0,0,0,0,8,0,18,2,1
0,36,2,0,0,0,3,0,31,2,0
1,26,0,0,0,1,5,0,1,6,1
1,33,0,0,0,0,0,0,286,9,1
1,30,2,0,0,0,9,0,45,8,1
1,32,0,0,0,0,4,0,2,7,1
1,63,0,0,0,0,0,1,61,0,0
1,27,3,0,0,0,2,0,1,2,0
1,55,2,0,0,0,0,0,3,0,0
1,32,0,0,0,0,15,0,93,9,0
1,38,0,0,0,2,5,0,99,2,0
1,53,2,0,0,0,19,0,6,4,0
1,49,5,0,0,0,7,0,122,2,1
1,26,2,0,0,2,6,1,132,7,0
0,33,2,0,0,0,4,1,305,4,1
1,24,2,0,0,0,1,1,2,1,1
1,34,0,2,1,3,21,0,261,8,1
1,29,2,0,0,0,0,1,1,1,0
0,21,0,0,0,0,2,0,80,7,0
1,51,0,0,0,0,2,1,2,0,0
1,29,2,0,0,0,2,1,31,1,1
1,25,0,0,0,0,0,0,272,5,0
0,51,0,0,0,0,7,0,2,1,0
1,28,2,0,0,0,8,0,2,6,0
1,36,0,0,0,0,22,1,80,8,0
1,29,0,0,0,0,0,0,1,6,1
1,29,5,0,0,0,0,1,2,0,0
1,25,2,0,0,0,9,1,24,9,1
1,35,0,1,0,4,13,0,1,7,1
1,49,2,0,0,0,0,1,1,0,0
1,34,0,0,0,0,4,1,52,2,1
1,29,0,0,0,0,0,0,1,3,0
1,29,2,0,0,0,1,0,1,1,1
0,28,5,0,0,0,0,0,1,1,0
1,51,2,0,0,0,0,0,202,1,0
1,25,2,0,0,0,0,0,1,2,0
1,48,2,0,0,0,20,0,248,5,1
1,33,2,0,0,0,1,0,1,8,0
0,63,3,0,0,0,1,0,9,0,0
1,30,0,0,0,1,3,0,59,5,0
1,31,0,0,0,1,15,0,136,4,1
1,24,0,0,0,0,2,0,2,3,1
1,27,0,0,0,0,0,0,31,4,0
1,32,2,0,0,0,3,0,2,7,0
1,30,3,0,0,0,0,1,317,6,0
1,49,0,0,0,0,4,1,1,0,0
1,53,2,0,0,0,8,0,14,4,0
0,31,3,0,0,0,0,1,1,0,0
1,35,0,0,0,0,5,0,31,2,0
1,63,0,0,0,0,10,1,154,6,1
1,33,0,0,0,0,2,0,1,0,0
1,27,0,1,1,2,15,0,2,9,1
1,38,2,0,0,0,4,1,61,1,1
1,46,2,3,1,0,9,0,2,5,0
1,22,0,0,0,1,1,0,2,3,1
